Date,Location,Game,gamestring
06/12/2025,Kai Tak,1.0,7/8.0-9/1/Xnan628/458-33nan
06/12/2025,Kai Tak,2.0,9/9.0/9/Xnan8/9/34629-33nan
06/12/2025,Kai Tak,3.0,617.0/817/189-9/9/817/X
06/12/2025,Kai Tak,4.0,6/1.079/819-8/XnanXnan9-34nan
06/12/2025,Kai Tak,5.0,Xnan9.0-9/Xnan9-Xnan9-6/6352nan
06/12/2025,Kai Tak,6.0,347.025/7-8-61Xnan9-Xnan9-nan
06/12/2025,Kai Tak,7.0,6/7.01XnanXnan8/Xnan9-9/8-81nan
06/12/2025,Kai Tak,8.0,6/7.01188--/7-Xnan9/8/63nan
06/12/2025,Kai Tak,9.0,Xnan7.0-9-368-Xnan9/818171nan
06/12/2025,Kai Tak,10.0,459.0/81Xnan9/Xnan9/8/1/9/4
04/21/2025,Kai Tak,2.0,455.0-72Xnan6127Xnan9/Xnan36nan
04/21/2025,Kai Tak,3.0,Xnan6.0-8-5-7/-/17-1719-nan
04/21/2025,Kai Tak,4.0,811.044nan429nan8nan54627117nan
04/21/2025,Kai Tak,5.0,4/2.0/9-9-9/81Xnan319/8-nan
04/21/2025,Kai Tak,6.0,815.019-9-4/7-9-34159Fnan
04/21/2025,Kai Tak,7.0,Xnan6.02358-3/-37-Xnan9-9/6
04/21/2025,Kai Tak,8.0,9-9.0/9-9/3/279-5/-58/6
04/21/2025,Kai Tak,10.0,729.0-9/8/9-7--9639-54nan
05/12/2025,Kai Tak,1.0,173.055/6/7/9-45Xnan519-nan
05/12/2025,Kai Tak,2.0,4/6.0312817/9/3/8/Xnan9/8
05/12/2025,Kai Tak,3.0,Xnan3.0/9/617-6-71458/3/9
05/12/2025,Kai Tak,4.0,9-9.0-7-717-9/63Xnan7/7/8
05/12/2025,Kai Tak,5.0,9-9.0-8/9-8-2-8/9-XnanX9/
05/12/2025,Kai Tak,6.0,8-9.0/8/9/9/3272627281nan
05/12/2025,Kai Tak,7.0,639.0/9-81Xnan166-8-25X9-
05/12/2025,Kai Tak,8.0,6-7.0/9/Xnan1/-5Xnan-5817/1
05/12/2025,Kai Tak,9.0,345.0371-931Xnan8-71Xnan6/9
,,,nannannannannannannannannannannannannannannannannannannannannan
,,,nannannannannannannannannannannannannannannannannannannannannan
,,,nannannannannannannannannannannannannannannannannannannannannan
,,,nannannannannannannannannannannannannannannannannannannannannan
,,,nannannannannannannannannannannannannannannannannannannannannan
,,,nannannannannannannannannannannannannannannannannannannannannan
,,,nannannannannannannannannannannannannannannannannannannannannan
